Names,Short forms
Canada Diagnostic Centres,CDC 
VM Medical Radiology Center,VM 
Timelly Medical Alternatives INC.,TMA
North Shore Medical Imaging,NSMI
Canadian Magnetic Imaging,CMI
Medvue medical Imaging - Concorde Clinic,Medvue
ProScan Imaging Ontario,PIO
Central Alberta Medical Imaging Services LTD,CAMIS
Viamedica Medical Center / Imaging Services,VMC
Cleveland Clinic Canada,CCC
ExecHealth INC.,EHI
Pureform Radiiology-Airdrie Clinic,Pureform
Pureform Radiiology-SouthTrail Clinic,Pureform
Axxess Imaging,AI
Imagix-Granby,Granby
Healthview Medical Imaging,HMI
Insight Medical Imaging,IMI
Insight Medical Imaging - Sherwood Park,IMI
Erie St Clair Radiology,Erie St Clair
Insight Medical Imaging - Heritage,IMI
Insight Medical Imaging - Lendrum Women's Imaging,IMI
Insight Medical Imaging - Millwoods,IMI
MIC Medical Imaging - Namao 160,MIC
MIC Medical Imaging,MIC
MIC Medical Imaging - Stratford,MIC
MIC Medical Imaging - Cambridge,MIC
MIC Medical Imaging - College Plaza,MIC
Medcan Clinic,MC
MIC Medical Imaging - Oakville,MIC
MIC Medical Imaging - Allini Clinic,MIC
Insight Medical Imaging-Fort McMurray,IMI
Insight Medical Imaging-Leduc,IMI
Inisght Medical Imaging - Meadowclark Diagnositc Imaging,IMI
Insight Medical Imaging - West End,IMI
MIC Medical Imaging - Ajax,MIC 
MIC Medical Imaging - HYS Centre,MIC
Ontario Independent Assessment Centrre,OIAC
MIC Medical Imaging - Century Park,MIC
Hamilton-Smith Consultants,HSC
Insight Medical Imaging - Oliver Square,IMI
Pasqua South Medical Aesthetics,PSMA
Insight Medical Imagnig - Spruce Grove,IMI
Grand River Hospital,GRH
Brantford Community Healthcare System,BCHS
Stevenson Memorial Hospital,SMH
Royal Victoria Hospital,RVH
South Muskoka Memorial Hospital,SMMH
Cambridge Memorial Hospital,CMH
Collingwood General and Marine Hospital,CGMH
Durham Memorial Hospital,DMH
St. Francis Memorial Hospital,SFMH
Lakeridge Health Bowmanville,LHB
Espanola General Hospital,EGH
Groves Memorial Community Hospital,GMCH
Haldimand War Memorial Hospital,HWMH
Niagara Health System Douglas Memorial Hospital,NHSDMH
Georgetown Hospital,GH
Alexandra Marine Hospital,AMH
Guelph General Hospital,GGH
St. Joseph's Health System,SJHS
Haliburton Hospital,HH
Hamilton Health Services ,HHS
St. Peters Hospital,SPH
Hanover District Hospital,HDH
Kingston General Hospital,KGH
Kirkland and District Hospital,KDH
Manitoulin Health Centre,MHC
London Health Sciences Centre,LHSC
Manitouwadge General Hospital,MGH
Wilson Memorial Hospital,WMH
Georgian Bay General Hospital,GBGH
Milton District Hospital,MDH
Credit Valley Hospital,CVH
Trillium Health Centre,THC
North Bay General Hospital,NBGH
Children's Hospital of Eastern Ontario,CHEO
Montfort Hospital,MH
The Ottawa Hospital ,TOH
Queensway-Carleton Hospital,QCH
Grey Bruce Health Services,GBHS
West Parry Sound Health Centre,WPSHC
Pembroke Regional Hospital,PRH
Norfolk General Hospital,NGH
Sault Area Hospital,SAH
West Nipissing General Hospital,WNGH
Temiskaming Hospital,TH
Hospital for Sick Children,HSC
Humber River Regional Hospital,HRRH
Mount Sinai Hospital,MSH
North York General Hospital,NYGH
Rouge Valley Centenary,RVC
Scarborough Hospital,SH
St. Josephs Health Centre,SJHC
Sunnybrook Health Sciences Centre,Sunnybrook
Toronto Grace Health Centre,TGHC
Princess Margaret Cancer Centre,Princess Margaret
Toronto General Hospital,TGH
Toronto Western Hospital,TWH
Women's College Hospital,WCH
Woodstock General Hospital,WGH
Southlake Regional Health Centre,SRHC
Alberta Hospital Edmonton,AHE
Royal Alexandra Hospital,RAH
Alberta Children's Hospital,ACH
BC Cancer Agency,BCCA
British Columbia Children's Hospital,BCCH
B.C. Women's Hospital & Health Centre,BCWHHC
Vancouver General Hospital,VGH
The Children's Hospital of Winnipeg,CHW
Saint Boniface General Hospital,SBGH
Dartmouth General Hospital,DGH
Queen Elizabeth II Health Sciences Centre,QEHSC
Cape Breton Regional Hospital,CBRH
Yarmouth Regional Hospital ,YRH
McGill University Health Centre,MUHC
Saskatoon City Hospital,SCH
Royal University Hospital,RUH
Waterloo Nuclear and Radiology Inc.,WNR
KMH Cardiology Centre,KMHCC
Fast Track MRI and Diagnostics,FTMD
Brantford Radiology Group ,BRG
Greater Niagara Medical Imaging,GNMI
Bolton Medical Imaging,BMI
Insight Diagnostic Imaging,IDI
Yorkview X-Ray & Ultrasound,YXU
Carmit Diagnostic Imaging ,CDI
Mayfair Diagnostics,MD
BGSA Radiology,BGSA
Gam Diagnostic Imaging,GDI
Georgian Radiology Consultants,GRC
